UTM_X,UTM_Y,Cota
423990,4578055,-35
419445,4578341,-35
419824,4578341,-35
420960,4578341,-35
421339,4578341,-35
421717,4578341,-35
423232,4578341,-35
423611,4578341,-35
423990,4578341,-35
425126,4578341,-35
426262,4578341,-35
426640,4578341,-35
427019,4578341,-35
428155,4578341,-35
428534,4578341,-35
419067,4578627,-35
419445,4578627,-35
419824,4578627,-35
420203,4578627,-35
420581,4578627,-35
420960,4578627,-35
421339,4578627,-35
421717,4578627,-35
422096,4578627,-35
422854,4578627,-35
423232,4578627,-35
423611,4578627,-35
423990,4578627,-35
424368,4578627,-35
424747,4578627,-35
425126,4578627,-35
425504,4578627,-35
426262,4578627,-35
426640,4578627,-35
427019,4578627,-35
428155,4578627,-35
428534,4578627,-35
418688,4578914,-35
419067,4578914,-35
419445,4578914,-35
419824,4578914,-35
420203,4578914,-35
420581,4578914,-35
420960,4578914,-35
421339,4578914,-35
421717,4578914,-35
423232,4578914,-35
423611,4578914,-35
423990,4578914,-35
424368,4578914,-35
424747,4578914,-35
425126,4578914,-35
425504,4578914,-35
425883,4578914,-35
426262,4578914,-35
426640,4578914,-35
427019,4578914,-35
427398,4578914,-35
428155,4578914,-35
430049,4578914,-35
418309,4579200,-35
418688,4579200,-35
419067,4579200,-35
419445,4579200,-35
419824,4579200,-35
420203,4579200,-35
420581,4579200,-35
420960,4579200,-35
421339,4579200,-35
421717,4579200,-35
422854,4579200,-35
423232,4579200,-35
423611,4579200,-35
423990,4579200,-35
424368,4579200,-35
424747,4579200,-35
425126,4579200,-35
425504,4579200,-35
425883,4579200,-35
426262,4579200,-35
426640,4579200,-35
427019,4579200,-35
427398,4579200,-35
427777,4579200,-35
430049,4579200,-35
430427,4579200,-35
418309,4579486,-35
418688,4579486,-35
419067,4579486,-35
419445,4579486,-35
419824,4579486,-35
420203,4579486,-35
420581,4579486,-35
420960,4579486,-35
421339,4579486,-35
423232,4579486,-35
423611,4579486,-35
423990,4579486,-35
424747,4579486,-35
425126,4579486,-35
425504,4579486,-35
425883,4579486,-35
426262,4579486,-35
426640,4579486,-35
427019,4579486,-35
427398,4579486,-35
427777,4579486,-35
430427,4579486,-35
418309,4579773,-35
418688,4579773,-35
419067,4579773,-35
419445,4579773,-35
419824,4579773,-35
420203,4579773,-35
420581,4579773,-35
420960,4579773,-35
421339,4579773,-35
421717,4579773,-35
425126,4579773,-35
425504,4579773,-35
425883,4579773,-35
426262,4579773,-35
426640,4579773,-35
427019,4579773,-35
427398,4579773,-35
427777,4579773,-35
430427,4579773,-35
430806,4579773,-35
417931,4580059,-35
418309,4580059,-35
418688,4580059,-35
419067,4580059,-35
419445,4580059,-35
419824,4580059,-35
420203,4580059,-35
420581,4580059,-35
420960,4580059,-35
421339,4580059,-35
425504,4580059,-35
425883,4580059,-35
426262,4580059,-35
426640,4580059,-35
427019,4580059,-35
430806,4580059,-35
417931,4580345,-35
418309,4580345,-35
418688,4580345,-35
419067,4580345,-35
419445,4580345,-35
419824,4580345,-35
420203,4580345,-35
420581,4580345,-35
420960,4580345,-35
425883,4580345,-35
426262,4580345,-35
426640,4580345,-35
427019,4580345,-35
417931,4580632,-35
418309,4580632,-35
418688,4580632,-35
419067,4580632,-35
419445,4580632,-35
419824,4580632,-35
420203,4580632,-35
420581,4580632,-35
420960,4580632,-35
426262,4580632,-35
426640,4580632,-35
417931,4580918,-35
418309,4580918,-35
418688,4580918,-35
419067,4580918,-35
419445,4580918,-35
419824,4580918,-35
420203,4580918,-35
420581,4580918,-35
420960,4580918,-35
417931,4581204,-35
418309,4581204,-35
418688,4581204,-35
419067,4581204,-35
419445,4581204,-35
419824,4581204,-35
420203,4581204,-35
420581,4581204,-35
420960,4581204,-35
417552,4581491,-35
417931,4581491,-35
418309,4581491,-35
418688,4581491,-35
419067,4581491,-35
419445,4581491,-35
419824,4581491,-35
417552,4581777,-35
417931,4581777,-35
418309,4581777,-35
418688,4581777,-35
419067,4581777,-35
419445,4581777,-35
419824,4581777,-35
417931,4582063,-35
418309,4582063,-35
418688,4582063,-35
419067,4582063,-35
419445,4582063,-35
419824,4582063,-35
418688,4582350,-35
419067,4582350,-35
419445,4582350,-35
413765,4569465,-40
414144,4569465,-40
414144,4569751,-40
414522,4569751,-40
414144,4570037,-40
416037,4571469,-40
416416,4571469,-40
415658,4571755,-40
416037,4571755,-40
416416,4571755,-40
416037,4572042,-40
416416,4572042,-40
416794,4572042,-40
416037,4572328,-40
416416,4572328,-40
416794,4572328,-40
417173,4572328,-40
417552,4572328,-40
417931,4572328,-40
416416,4572614,-40
416794,4572614,-40
417173,4572614,-40
417552,4572614,-40
416794,4572901,-40
417173,4572901,-40
417552,4572901,-40
416794,4573187,-40
417173,4573187,-40
417552,4573187,-40
417173,4573473,-40
417173,4573760,-40
418688,4574332,-40
418688,4574619,-40
419067,4574619,-40
419445,4574619,-40
419067,4574905,-40
419445,4574905,-40
419824,4574905,-40
419445,4575191,-40
419824,4575191,-40
420203,4575191,-40
419824,4575478,-40
420203,4575478,-40
419824,4575764,-40
420203,4575764,-40
420203,4576050,-40
420581,4576050,-40
420960,4576050,-40
420203,4576337,-40
420581,4576337,-40
420960,4576337,-40
420203,4576623,-40
420581,4576623,-40
420960,4576623,-40
420203,4576909,-40
420581,4576909,-40
420960,4576909,-40
420203,4577196,-40
420581,4577196,-40
424747,4577196,-40
420203,4577482,-40
420581,4577482,-40
420960,4577482,-40
423232,4577482,-40
423611,4577482,-40
423990,4577482,-40
424368,4577482,-40
424747,4577482,-40
419824,4577768,-40
420203,4577768,-40
420581,4577768,-40
420960,4577768,-40
421339,4577768,-40
422854,4577768,-40
423232,4577768,-40
423611,4577768,-40
423990,4577768,-40
424368,4577768,-40
424747,4577768,-40
419445,4578055,-40
419824,4578055,-40
420203,4578055,-40
420581,4578055,-40
421339,4578055,-40
421717,4578055,-40
422475,4578055,-40
422854,4578055,-40
423232,4578055,-40
423611,4578055,-40
423990,4578055,-40
424368,4578055,-40
424747,4578055,-40
419445,4578341,-40
419824,4578341,-40
420203,4578341,-40
420581,4578341,-40
